,F1-Score,Accuracy,Estimators,Split
7039055,0.8,0.9,80,0.35
1679485,0.8,0.85,80,0.95
9997264,0.8,0.833333333,100,0.6
8728831,0.8,0.9,80,0.2
3414879,0.8,0.866666667,20,0.45
6578059,0.8,0.883333333,40,0.35
4116867,0.8,0.866666667,20,0.45
1586427,0.8,0.866666667,300,0.2
8275536,0.8,0.9,300,0.05
2322856,0.8,0.9,20,0.25
5365393,0.8,0.9,20,0.05
578655,0.8,0.85,140,0.35
6219584,0.8,0.866666667,40,0.35
4653321,0.8,0.9,300,0.35
9173848,0.8,0.883333333,20,0.25
7666439,0.8,0.883333333,120,0.5
6763656,0.8,0.916666667,60,0.05
6848265,0.8,0.866666667,20,0.5
3208571,0.8,0.9,60,0.2
833670,0.8,0.833333333,60,0.45
4342233,0.8,0.866666667,20,0.5
1903743,0.8,0.883333333,20,0.95
5892617,0.8,0.866666667,260,0.35
8996483,0.8,0.883333333,140,0.5
3180623,0.8,0.883333333,80,0.5
7178982,0.8,0.9,80,0.2
4280741,0.8,0.883333333,20,0.35
6516380,0.8,0.883333333,20,0.35
8113610,0.8,0.883333333,20,0.6
3668622,0.8,0.883333333,40,0.45
256330,0.8,0.9,20,0.25
1429116,0.8,0.9,200,0.25
4166088,0.8,0.866666667,20,0.45
2181328,0.8,0.883333333,160,0.2
2669991,0.8,0.883333333,80,0.5
5842679,0.8,0.883333333,20,0.25
1145963,0.8,0.883333333,40,0.5
923768,0.8,0.866666667,20,0.45
7168818,0.8,0.883333333,220,0.5
2449360,0.8,0.85,140,0.6
4960927,0.8,0.866666667,200,0.35
9313425,0.8,0.866666667,140,0.35
7133779,0.8,0.883333333,40,0.45
8991240,0.8,0.883333333,80,0.25
4798177,0.8,0.866666667,20,0.5
5439117,0.8,0.85,20,0.5
6921425,0.8,0.883333333,140,0.45
8348087,0.8,0.883333333,20,0.25
3015628,0.8,0.883333333,40,0.5
5645197,0.8,0.85,40,0.45
6979696,0.8,0.866666667,260,0.2
824571,0.8,0.9,140,0.05
8985201,0.8,0.883333333,20,0.2
1099658,0.8,0.866666667,380,0.5
9662499,0.8,0.883333333,60,0.2
3786491,0.8,0.85,40,0.5
3444028,0.8,0.883333333,20,0.5
9278956,0.8,0.85,60,0.5
5959519,0.8,0.883333333,40,0.35
8688088,0.8,0.866666667,220,0.25
4750537,0.8,0.9,160,0.05
8422276,0.8,0.883333333,120,0.25
6934864,0.791666667,0.833333333,20,0.85
7631021,0.791666667,0.833333333,20,0.5
5764445,0.791666667,0.833333333,120,0.5
3827200,0.791666667,0.833333333,160,0.25
8880134,0.791666667,0.833333333,20,0.5
5165379,0.790697674,0.85,120,0.5
449567,0.790697674,0.85,100,0.6
1173877,0.790697674,0.85,60,0.35
6240441,0.790697674,0.85,20,0.25
4567111,0.790697674,0.85,280,0.2
5118445,0.790697674,0.85,80,0.45
2966461,0.790697674,0.85,60,0.5
3198910,0.790697674,0.85,20,0.35
6532365,0.790697674,0.85,80,0.35
4001234,0.790697674,0.85,20,0.25
2949888,0.790697674,0.85,20,0.85
5593240,0.790697674,0.85,80,0.5
2986468,0.790697674,0.85,240,0.25
8913594,0.790697674,0.85,40,0.2
7393195,0.790697674,0.85,180,0.5
6223636,0.790697674,0.85,60,0.5
2178222,0.790697674,0.85,200,0.45
4225397,0.790697674,0.85,60,0.35
3159172,0.790697674,0.85,60,0.35
4230619,0.790697674,0.85,20,0.5
543140,0.789473684,0.866666667,280,0.2
8046687,0.789473684,0.866666667,20,0.35
9628251,0.789473684,0.866666667,140,0.45
4659880,0.789473684,0.866666667,40,0.25
2142819,0.789473684,0.866666667,200,0.5
150699,0.789473684,0.866666667,60,0.5
4983337,0.789473684,0.866666667,100,0.35
2470380,0.789473684,0.866666667,140,0.05
3139468,0.789473684,0.866666667,140,0.45
7559899,0.789473684,0.866666667,80,0.35
6365369,0.789473684,0.866666667,40,0.2
5299986,0.789473684,0.866666667,20,0.5
4943369,0.789473684,0.866666667,200,0.25
9596432,0.789473684,0.866666667,20,0.25
5620330,0.789473684,0.866666667,100,0.25
7333219,0.789473684,0.866666667,40,0.25
5027898,0.789473684,0.866666667,300,0.25
3239121,0.789473684,0.866666667,100,0.25
3364462,0.789473684,0.866666667,100,0.35
6256709,0.789473684,0.866666667,20,0.7
3320227,0.787878788,0.883333333,60,0.2
363977,0.787878788,0.883333333,60,0.5
4105398,0.787878788,0.883333333,120,0.45
3238157,0.787878788,0.883333333,280,0.2
8838955,0.787878788,0.883333333,20,0.25
2049917,0.787878788,0.883333333,40,0.95
5354049,0.787878788,0.883333333,120,0.2
9440128,0.787878788,0.883333333,20,0.95
5932487,0.787878788,0.883333333,60,0.6
9220075,0.787878788,0.883333333,40,0.35
635397,0.787878788,0.883333333,120,0.45
1942608,0.787878788,0.883333333,260,0.05
6753911,0.787878788,0.883333333,40,0.25
1136943,0.787878788,0.883333333,340,0.25
1076312,0.785714286,0.8,80,0.5
5128323,0.785714286,0.9,20,0.35
4134272,0.785714286,0.9,60,0.25
2048255,0.785714286,0.9,20,0.5
1250361,0.785714286,0.9,20,0.45
1998054,0.785714286,0.9,40,0.45
7991034,0.785714286,0.9,20,0.7
1453147,0.785714286,0.9,40,0.2
3051512,0.785714286,0.9,40,0.7
6585768,0.784313725,0.816666667,60,0.2
1053179,0.784313725,0.816666667,100,0.7
5763677,0.784313725,0.816666667,40,0.45
6172506,0.782608696,0.833333333,160,0.2
564560,0.782608696,0.833333333,100,0.5
839905,0.782608696,0.833333333,60,0.05
1641461,0.782608696,0.833333333,140,0.2
7246758,0.782608696,0.833333333,380,0.5
8037221,0.782608696,0.833333333,80,0.6
1988507,0.782608696,0.833333333,80,0.7
7473872,0.782608696,0.833333333,300,0.5
8507676,0.782608696,0.833333333,40,0.45
5767731,0.780487805,0.85,180,0.5
2086071,0.780487805,0.85,80,0.25
6419835,0.780487805,0.85,80,0.25
9718936,0.780487805,0.85,360,0.35
6202822,0.780487805,0.85,40,0.95
7946965,0.780487805,0.85,60,0.25
5154353,0.780487805,0.85,60,0.2
8083620,0.780487805,0.85,60,0.5
2165864,0.780487805,0.85,40,0.35
6823052,0.780487805,0.85,80,0.25
8239032,0.780487805,0.85,100,0.5
180723,0.780487805,0.85,40,0.5
7726213,0.777777778,0.866666667,40,0.25
2260505,0.777777778,0.866666667,40,0.2
3025983,0.777777778,0.866666667,120,0.45
4907501,0.777777778,0.866666667,20,0.5
7340412,0.777777778,0.866666667,100,0.35
6096101,0.777777778,0.866666667,140,0.35
9961372,0.777777778,0.866666667,120,0.35
8794587,0.777777778,0.866666667,100,0.45
7891321,0.777777778,0.866666667,20,0.6
5707912,0.777777778,0.866666667,60,0.5
7861851,0.777777778,0.866666667,100,0.2
1789755,0.777777778,0.866666667,360,0.25
3950618,0.777777778,0.866666667,60,0.5
5759731,0.777777778,0.866666667,300,0.45
1606084,0.777777778,0.866666667,20,0.45
2550391,0.777777778,0.866666667,60,0.2
5992658,0.777777778,0.866666667,160,0.45
2477939,0.777777778,0.866666667,80,0.5
1758128,0.777777778,0.866666667,160,0.2
1225266,0.777777778,0.866666667,40,0.5
8774083,0.777777778,0.866666667,240,0.2
1980008,0.777777778,0.866666667,320,0.35
4742771,0.777777778,0.866666667,300,0.25
4254900,0.777777778,0.866666667,40,0.5
8488761,0.777777778,0.866666667,20,0.35
8232170,0.777777778,0.866666667,60,0.5
3709482,0.777777778,0.866666667,40,0.35
9169880,0.777777778,0.866666667,80,0.35
9969630,0.777777778,0.866666667,60,0.25
8055922,0.777777778,0.866666667,40,0.5
9008585,0.777777778,0.866666667,20,0.25
4763768,0.775510204,0.816666667,40,0.5
4702146,0.775510204,0.816666667,100,0.5
2287057,0.775510204,0.816666667,40,0.6
3635603,0.775510204,0.816666667,180,0.35
298209,0.774193548,0.883333333,20,0.5
799118,0.774193548,0.883333333,20,0.25
9640316,0.774193548,0.883333333,20,0.05
8751867,0.774193548,0.883333333,300,0.2
9535044,0.774193548,0.883333333,20,0.2
4008670,0.774193548,0.883333333,80,0.05
9585268,0.774193548,0.883333333,40,0.2
5185336,0.774193548,0.883333333,60,0.25
5597553,0.774193548,0.883333333,80,0.25
7661532,0.774193548,0.883333333,60,0.2
7568523,0.774193548,0.883333333,40,0.25
261709,0.774193548,0.883333333,240,0.25
9077773,0.774193548,0.883333333,20,0.2
9892681,0.774193548,0.883333333,220,0.35
9826334,0.774193548,0.883333333,20,0.2
228825,0.774193548,0.883333333,80,0.5
6761025,0.774193548,0.883333333,160,0.35
3030820,0.774193548,0.883333333,80,0.25
6461112,0.774193548,0.883333333,240,0.25
7801963,0.772727273,0.833333333,140,0.35
3432236,0.772727273,0.833333333,20,0.85
4650011,0.772727273,0.833333333,40,0.5
8211720,0.772727273,0.833333333,300,0.2
9832123,0.772727273,0.833333333,80,0.35
1959301,0.772727273,0.833333333,40,0.85
9902410,0.772727273,0.833333333,40,0.35
7221405,0.772727273,0.833333333,20,0.35
1427708,0.769230769,0.85,40,0.75
961481,0.769230769,0.85,80,0.35
5955140,0.769230769,0.85,40,0.5
3634686,0.769230769,0.85,40,0.2
5629799,0.769230769,0.85,80,0.2
7488070,0.769230769,0.85,40,0.5
1096399,0.769230769,0.9,40,0.2
3935441,0.769230769,0.85,80,0.5
5519852,0.769230769,0.85,40,0.35
5904714,0.769230769,0.85,40,0.35
4367943,0.769230769,0.85,80,0.25
6115755,0.769230769,0.85,140,0.95
6250930,0.769230769,0.9,40,0.2
9882566,0.769230769,0.85,60,0.45
926736,0.769230769,0.85,40,0.2
4472229,0.769230769,0.9,80,0.45
5299242,0.769230769,0.85,20,0.5
3547913,0.765957447,0.816666667,140,0.25
7587844,0.765957447,0.816666667,60,0.95
2149282,0.765957447,0.816666667,40,0.35
5420390,0.764705882,0.866666667,120,0.6
1292037,0.764705882,0.866666667,160,0.25
1704617,0.764705882,0.866666667,380,0.2
1553656,0.764705882,0.866666667,220,0.5
7726393,0.764705882,0.866666667,80,0.5
4163110,0.764705882,0.866666667,60,0.35
6569825,0.764705882,0.866666667,20,0.35
1750871,0.764705882,0.866666667,80,0.45
8768674,0.764705882,0.866666667,40,0.05
8401212,0.764705882,0.866666667,40,0.35
139083,0.764705882,0.866666667,140,0.2
748413,0.764705882,0.866666667,40,0.2
5918981,0.764705882,0.866666667,60,0.45
6554038,0.764705882,0.866666667,100,0.5
2322843,0.764705882,0.866666667,60,0.2
2235642,0.764705882,0.866666667,20,0.7
757349,0.764705882,0.866666667,180,0.35
1495796,0.764705882,0.866666667,240,0.05
8171503,0.764705882,0.866666667,320,0.5
251625,0.764705882,0.866666667,100,0.95
4708933,0.764705882,0.866666667,20,0.2
9996829,0.764705882,0.866666667,20,0.35
8555446,0.764705882,0.866666667,20,0.5
1435557,0.761904762,0.833333333,20,0.7
9328299,0.761904762,0.833333333,80,0.25
141725,0.761904762,0.833333333,60,0.35
8086155,0.761904762,0.833333333,160,0.6
1789704,0.761904762,0.833333333,100,0.5
5871513,0.761904762,0.833333333,40,0.5
4168836,0.761904762,0.833333333,120,0.25
2487219,0.761904762,0.833333333,20,0.6
423819,0.761904762,0.833333333,80,0.35
2019794,0.761904762,0.833333333,40,0.35
1960565,0.761904762,0.833333333,20,0.5
519999,0.761904762,0.833333333,140,0.5
6103828,0.761904762,0.833333333,40,0.35
5761231,0.761904762,0.833333333,100,0.25
2736702,0.761904762,0.833333333,20,0.45
2247798,0.76,0.8,40,0.2
4368519,0.75862069,0.883333333,260,0.95
8597436,0.75862069,0.883333333,60,0.2
2963388,0.75862069,0.883333333,280,0.45
1809387,0.75862069,0.883333333,80,0.2
6977251,0.75862069,0.883333333,260,0.35
1384674,0.75862069,0.883333333,100,0.2
79051,0.75862069,0.883333333,80,0.5
2328446,0.75862069,0.883333333,20,0.25
7790049,0.75862069,0.883333333,40,0.25
5560174,0.75862069,0.883333333,20,0.25
9709763,0.75862069,0.883333333,20,0.75
9387754,0.75862069,0.883333333,20,0.5
6481537,0.756756757,0.85,80,0.7
4616851,0.756756757,0.85,20,0.7
